productCode,productName,quantityInStock,total_Sold,Sales Velocity Ratio (SVR),
S24_1444,1970 Dodge Coronet,4074,976, 0.2 ,Sell Occasionally
S50_1392,Diamond T620 Semi-Skirted Tanker,1016,979, 1.0 ,Sell Occasionally
S24_2840,1958 Chevy Corvette Limited Edition,2542,983, 0.4 ,Sell Occasionally
S24_4258,1936 Chrysler Airflow,4710,983, 0.2 ,Sell Occasionally
S700_2466,America West Airlines B757-200,9653,984, 0.1 ,Sell Occasionally
S10_4698,2003 Harley-Davidson Eagle Drag Bike,5582,985, 0.2 ,Sell Occasionally
S18_2957,1934 Ford V8 Coupe,5649,985, 0.2 ,Sell Occasionally
S18_2238,1998 Chrysler Plymouth Prowler,4724,986, 0.2 ,Sell Occasionally
S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,814,988, 1.2 ,High Demand
S18_4522,1904 Buick Runabout,8290,990, 0.1 ,Sell Occasionally
S24_3151,1912 Ford Model T Delivery Wagon,9173,991, 0.1 ,Sell Occasionally
S12_4675,1969 Dodge Charger,7323,992, 0.1 ,Sell Occasionally
S18_3320,1917 Maxwell Touring Car,7913,992, 0.1 ,Sell Occasionally
S50_4713,2002 Yamaha YZR M1,600,992, 1.7 ,High Demand
S18_4668,1939 Cadillac Limousine,6645,995, 0.1 ,Sell Occasionally
S700_2824,1982 Camaro Z28,6934,997, 0.1 ,Sell Occasionally
S18_2432,1926 Ford Fire Engine,2018,998, 0.5 ,Sell Occasionally
S10_2016,1996 Moto Guzzi 1100i,6625,999, 0.2 ,Sell Occasionally
S18_1097,1940 Ford Pickup Truck,2613,999, 0.4 ,Sell Occasionally
S24_4278,1900s Vintage Tri-Plane,2756,1009, 0.4 ,Sell Occasionally
S24_2011,18th century schooner,1898,1011, 0.5 ,Sell Occasionally
S18_4721,1957 Corvette Convertible,1249,1013, 0.8 ,Sell Occasionally
S32_1374,1997 BMW F650 ST,178,1014, 5.7 ,High Demand
S24_2000,1960 BSA Gold Star DBD34,15,1015, 67.7 ,High Demand
S12_1108,2001 Ferrari Enzo,3619,1019, 0.3 ,Sell Occasionally
S700_2610,The USS Constitution Ship,7083,1020, 0.1 ,Sell Occasionally
S12_2823,2002 Suzuki XREO,9997,1028, 0.1 ,Sell Occasionally
S24_2300,1962 Volkswagen Microbus,2327,1029, 0.4 ,Sell Occasionally
S10_4757,1972 Alfa Romeo GTA,3252,1030, 0.3 ,Sell Occasionally
S24_1578,1997 BMW R 1100 S,7003,1033, 0.1 ,Sell Occasionally
S18_2949,1913 Ford Model T Speedster,4189,1038, 0.2 ,Sell Occasionally
S18_1662,1980s Black Hawk Helicopter,5330,1040, 0.2 ,Sell Occasionally
S700_3167,F/A 18 Hornet 1/72,551,1047, 1.9 ,High Demand
S24_3949,Corsair F4U ( Bird Cage),6812,1051, 0.2 ,Sell Occasionally
S24_3856,1956 Porsche 356A Coupe,6600,1052, 0.2 ,Sell Occasionally
S18_2319,1964 Mercedes Tour Bus,8258,1053, 0.1 ,Sell Occasionally
S12_4473,1957 Chevy Pickup,6125,1056, 0.2 ,Sell Occasionally
S10_1678,1969 Harley Davidson Ultimate Chopper,7933,1057, 0.1 ,Sell Occasionally
S18_4600,1940s Ford truck,3128,1061, 0.3 ,Sell Occasionally
S50_1341,1930 Buick Marquette Phaeton,7062,1074, 0.2 ,Sell Occasionally
S18_3856,1941 Chevrolet Special Deluxe Cabriolet,2378,1076, 0.5 ,Sell Occasionally
S700_4002,American Airlines: MD-11S,8820,1085, 0.1 ,Sell Occasionally
S18_1342,1937 Lincoln Berline,8693,1111, 0.1 ,Sell Occasionally
S18_3232,1992 Ferrari 360 Spider red,8347,1808, 0.2 ,Sell Occasionally
